# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-O" "-s" "1" "-t" "CDS" "--ignoreDup" "-T" "1" "-G" "../data/reference/YB886.fa" "-a" "../results/bacillus_annotation/YB886.gff" "-g" "ID" "-o" "../results/featureCounts/tmp_counts.txt" "T0" "T10" 
Geneid	Chr	Start	End	Strand	Length	T0	T10
IABCJNHA_00909	manual_scaffold_1	906034	906309	+	276	69	24
IABCJNHA_00910	manual_scaffold_1	906333	906767	+	435	147	116
IABCJNHA_00911	manual_scaffold_1	906796	907566	+	771	263	117
IABCJNHA_00912	manual_scaffold_1	907593	908042	-	450	0	0
IABCJNHA_00913	manual_scaffold_1	908246	909265	+	1020	12	11
IABCJNHA_00914	manual_scaffold_1	909466	910767	+	1302	704	263
IABCJNHA_00915	manual_scaffold_1	910758	911825	+	1068	439	157
IABCJNHA_00916	manual_scaffold_1	911822	912751	+	930	606	263
IABCJNHA_00917	manual_scaffold_1	912859	914832	+	1974	230	138
IABCJNHA_00918	manual_scaffold_1	914874	915110	-	237	258	169
IABCJNHA_00919	manual_scaffold_1	915312	915635	+	324	29	28
IABCJNHA_00920	manual_scaffold_1	915661	916689	-	1029	932	186
IABCJNHA_00921	manual_scaffold_1	916991	917227	+	237	6	2
IABCJNHA_00922	manual_scaffold_1	917364	918578	+	1215	4	4
IABCJNHA_00923	manual_scaffold_1	918701	919555	+	855	152	45
IABCJNHA_00924	manual_scaffold_1	919634	919996	+	363	203	85
IABCJNHA_00925	manual_scaffold_1	920346	920852	+	507	12	5
IABCJNHA_00926	manual_scaffold_1	920876	921499	+	624	20	11
IABCJNHA_00927	manual_scaffold_1	921573	922553	-	981	50	16
IABCJNHA_00928	manual_scaffold_1	922832	922972	+	141	6	4
IABCJNHA_00929	manual_scaffold_1	923011	924009	-	999	358	204
IABCJNHA_00930	manual_scaffold_1	924341	925561	+	1221	6	6
IABCJNHA_00931	manual_scaffold_1	925931	926251	+	321	52	5
IABCJNHA_00932	manual_scaffold_1	926355	927011	+	657	13	8
IABCJNHA_00933	manual_scaffold_1	927042	927518	-	477	12	6
IABCJNHA_00934	manual_scaffold_1	927676	929178	+	1503	517	336
IABCJNHA_00935	manual_scaffold_1	929325	930653	+	1329	9	20
IABCJNHA_00936	manual_scaffold_1	930723	931325	-	603	12	6
IABCJNHA_00937	manual_scaffold_1	931426	932022	+	597	6	4
IABCJNHA_00938	manual_scaffold_1	932224	933105	+	882	42	4
IABCJNHA_00939	manual_scaffold_1	933299	934084	+	786	13	6
IABCJNHA_00940	manual_scaffold_1	934110	935306	+	1197	15	10
IABCJNHA_00941	manual_scaffold_1	935335	936954	+	1620	32	6
IABCJNHA_00942	manual_scaffold_1	936982	937920	+	939	21	7
IABCJNHA_00943	manual_scaffold_1	937940	945076	+	7137	98	49
IABCJNHA_00944	manual_scaffold_1	945092	945301	+	210	3	0
IABCJNHA_00945	manual_scaffold_1	945345	946022	-	678	315	191
IABCJNHA_00946	manual_scaffold_1	946134	947270	-	1137	3892	1633
IABCJNHA_00947	manual_scaffold_1	947372	948601	-	1230	75	34
IABCJNHA_00948	manual_scaffold_1	949161	949454	+	294	899	592
IABCJNHA_00949	manual_scaffold_1	949524	949763	+	240	0	1
IABCJNHA_00950	manual_scaffold_1	949778	951133	+	1356	65	3
IABCJNHA_00951	manual_scaffold_1	951161	955681	+	4521	251	12
IABCJNHA_00952	manual_scaffold_1	955678	958908	+	3231	323	53
IABCJNHA_00953	manual_scaffold_1	958931	959395	+	465	48	20
IABCJNHA_00954	manual_scaffold_1	959458	960189	+	732	190	80
IABCJNHA_00955	manual_scaffold_1	960387	960917	+	531	33	31
IABCJNHA_00956	manual_scaffold_1	961094	961330	+	237	11	7
IABCJNHA_00957	manual_scaffold_1	961371	961760	-	390	2	5
IABCJNHA_00958	manual_scaffold_1	961875	962984	+	1110	114	48
IABCJNHA_00959	manual_scaffold_1	963044	963265	+	222	30	17
IABCJNHA_00960	manual_scaffold_1	963338	963586	+	249	55	36
IABCJNHA_00961	manual_scaffold_1	963658	964056	+	399	100	114
IABCJNHA_00962	manual_scaffold_1	964153	964704	+	552	258	188
IABCJNHA_00963	manual_scaffold_1	964720	966192	+	1473	944	525
IABCJNHA_00964	manual_scaffold_1	966329	967558	+	1230	272	125
IABCJNHA_00965	manual_scaffold_1	967534	967902	-	369	0	0
IABCJNHA_00966	manual_scaffold_1	968363	968503	+	141	3	13
IABCJNHA_00967	manual_scaffold_1	968604	969587	+	984	161	37
IABCJNHA_00968	manual_scaffold_1	969575	969742	+	168	56	9
IABCJNHA_00969	manual_scaffold_1	969757	972066	+	2310	674	221
IABCJNHA_00970	manual_scaffold_1	972147	972791	+	645	219	114
IABCJNHA_00971	manual_scaffold_1	972810	973190	+	381	24	29
IABCJNHA_00972	manual_scaffold_1	973229	973603	-	375	151	78
IABCJNHA_00973	manual_scaffold_1	973587	973871	-	285	74	41
IABCJNHA_00974	manual_scaffold_1	973871	974347	-	477	114	68
IABCJNHA_00975	manual_scaffold_1	974353	975843	-	1491	255	137
IABCJNHA_00976	manual_scaffold_1	975827	976168	-	342	38	33
IABCJNHA_00977	manual_scaffold_1	976168	976599	-	432	66	26
IABCJNHA_00978	manual_scaffold_1	976592	978997	-	2406	421	222
IABCJNHA_00979	manual_scaffold_1	979228	979443	+	216	0	0
IABCJNHA_00980	manual_scaffold_1	979479	980825	-	1347	40	12
IABCJNHA_00981	manual_scaffold_1	980979	981938	-	960	6	4
IABCJNHA_00982	manual_scaffold_1	981939	982985	-	1047	13	10
IABCJNHA_00983	manual_scaffold_1	982978	984510	-	1533	32	4
IABCJNHA_00984	manual_scaffold_1	984586	985665	-	1080	56	2
IABCJNHA_00985	manual_scaffold_1	986137	986844	-	708	151	134
IABCJNHA_00986	manual_scaffold_1	986837	988438	-	1602	135	88
IABCJNHA_00987	manual_scaffold_1	988616	989173	+	558	85	34
IABCJNHA_00988	manual_scaffold_1	989376	989789	-	414	85	14
IABCJNHA_00989	manual_scaffold_1	989810	991684	-	1875	386	138
IABCJNHA_00990	manual_scaffold_1	991777	992835	-	1059	5	6
IABCJNHA_00991	manual_scaffold_1	992888	993091	+	204	0	0
IABCJNHA_00992	manual_scaffold_1	993166	993783	+	618	7	3
IABCJNHA_00993	manual_scaffold_1	993810	994196	-	387	53	38
IABCJNHA_00994	manual_scaffold_1	994242	995528	-	1287	31	6
IABCJNHA_00995	manual_scaffold_1	995654	996817	-	1164	176	90
IABCJNHA_00996	manual_scaffold_1	996904	997164	+	261	15	7
IABCJNHA_00997	manual_scaffold_1	997193	998014	-	822	0	2
IABCJNHA_00998	manual_scaffold_1	998162	998662	+	501	411	139
IABCJNHA_00999	manual_scaffold_1	998741	999823	+	1083	946	495
IABCJNHA_01000	manual_scaffold_1	1000025	1000417	+	393	978	1198
IABCJNHA_01001	manual_scaffold_1	1000495	1000731	-	237	0	9
IABCJNHA_01002	manual_scaffold_1	1000961	1002124	+	1164	592	817
IABCJNHA_01003	manual_scaffold_1	1002228	1003400	+	1173	78	138
IABCJNHA_01004	manual_scaffold_1	1003512	1004864	+	1353	2220	1178
IABCJNHA_01005	manual_scaffold_1	1004866	1005294	+	429	45	26
IABCJNHA_01006	manual_scaffold_1	1005354	1005758	+	405	71	64
IABCJNHA_01007	manual_scaffold_1	1005755	1006741	-	987	2	2
IABCJNHA_01008	manual_scaffold_1	1006738	1007070	-	333	0	0
IABCJNHA_01009	manual_scaffold_1	1007117	1007380	+	264	0	0
IABCJNHA_01010	manual_scaffold_1	1007422	1008099	+	678	22	30
IABCJNHA_01011	manual_scaffold_1	1008143	1009432	+	1290	0	6
IABCJNHA_01012	manual_scaffold_1	1009559	1011223	+	1665	14	10
IABCJNHA_01013	manual_scaffold_1	1011343	1011741	+	399	49	30
IABCJNHA_01014	manual_scaffold_1	1011999	1012253	+	255	8	22
IABCJNHA_01015	manual_scaffold_1	1012267	1013004	-	738	8	2
IABCJNHA_01016	manual_scaffold_1	1013162	1015150	+	1989	877	210
IABCJNHA_01017	manual_scaffold_1	1015327	1017315	+	1989	17	18
IABCJNHA_01018	manual_scaffold_1	1017434	1019425	+	1992	1191	224
IABCJNHA_01019	manual_scaffold_1	1019539	1021527	+	1989	455	132
IABCJNHA_01020	manual_scaffold_1	1021665	1023734	+	2070	118	50
IABCJNHA_01021	manual_scaffold_1	1023791	1024567	+	777	32	16
IABCJNHA_01022	manual_scaffold_1	1024572	1026029	+	1458	50	22
IABCJNHA_01023	manual_scaffold_1	1026047	1026361	+	315	13	7
IABCJNHA_01024	manual_scaffold_1	1026387	1027661	+	1275	37	8
IABCJNHA_01025	manual_scaffold_1	1027702	1028688	-	987	176	110
IABCJNHA_01026	manual_scaffold_1	1028870	1030036	+	1167	156	60
IABCJNHA_01027	manual_scaffold_1	1030129	1030959	+	831	56	49
IABCJNHA_01029	manual_scaffold_1	1031246	1031731	-	486	0	0
IABCJNHA_01030	manual_scaffold_1	1032216	1033751	+	1536	84	58
IABCJNHA_01031	manual_scaffold_1	1033726	1034760	+	1035	51	33
IABCJNHA_01032	manual_scaffold_1	1034869	1035132	+	264	224	107
IABCJNHA_01033	manual_scaffold_1	1035168	1036505	-	1338	16	23
IABCJNHA_01034	manual_scaffold_1	1036512	1037180	-	669	14	9
IABCJNHA_01035	manual_scaffold_1	1037546	1038091	-	546	62	62
IABCJNHA_01036	manual_scaffold_1	1038289	1038831	-	543	46	30
IABCJNHA_01037	manual_scaffold_1	1039030	1040502	+	1473	32	16
IABCJNHA_01038	manual_scaffold_1	1040519	1041727	+	1209	46	12
IABCJNHA_01039	manual_scaffold_1	1041815	1042393	+	579	50	50
IABCJNHA_01040	manual_scaffold_1	1042399	1042887	-	489	379	93
IABCJNHA_01041	manual_scaffold_1	1043004	1043579	+	576	212	18
IABCJNHA_01042	manual_scaffold_1	1043600	1045129	+	1530	432	36
IABCJNHA_01043	manual_scaffold_1	1045147	1045668	+	522	135	9
IABCJNHA_01044	manual_scaffold_1	1045710	1046288	-	579	9	0
IABCJNHA_01045	manual_scaffold_1	1047059	1048942	+	1884	4	16
IABCJNHA_01046	manual_scaffold_1	1048939	1050081	+	1143	8	11
IABCJNHA_01047	manual_scaffold_1	1050105	1051136	+	1032	10	17
IABCJNHA_01048	manual_scaffold_1	1051133	1052587	+	1455	12	26
IABCJNHA_01049	manual_scaffold_1	1052574	1054970	+	2397	22	32
IABCJNHA_01050	manual_scaffold_1	1055001	1055468	-	468	0	0
IABCJNHA_01051	manual_scaffold_1	1055548	1056609	-	1062	2	0
IABCJNHA_01052	manual_scaffold_1	1056811	1057944	+	1134	0	0
IABCJNHA_01053	manual_scaffold_1	1057959	1059014	+	1056	6	11
IABCJNHA_01054	manual_scaffold_1	1059016	1059447	+	432	6	2
IABCJNHA_01055	manual_scaffold_1	1059521	1060744	-	1224	0	0
IABCJNHA_01056	manual_scaffold_1	1060747	1061697	-	951	0	0
IABCJNHA_01057	manual_scaffold_1	1061694	1062980	-	1287	0	0
IABCJNHA_01058	manual_scaffold_1	1063152	1063970	+	819	6	4
IABCJNHA_01059	manual_scaffold_1	1063979	1064698	-	720	0	2
IABCJNHA_01060	manual_scaffold_1	1064988	1066403	+	1416	459	143
IABCJNHA_01061	manual_scaffold_1	1066400	1068142	+	1743	444	109
IABCJNHA_01062	manual_scaffold_1	1068130	1068954	+	825	189	65
IABCJNHA_01063	manual_scaffold_1	1068989	1069804	+	816	640	472
IABCJNHA_01064	manual_scaffold_1	1069895	1071355	+	1461	108	239
IABCJNHA_01065	manual_scaffold_1	1071352	1072467	+	1116	67	88
IABCJNHA_01066	manual_scaffold_1	1072747	1073667	+	921	117	770
IABCJNHA_01067	manual_scaffold_1	1073686	1074438	+	753	94	571
IABCJNHA_01068	manual_scaffold_1	1074444	1075751	+	1308	129	762
IABCJNHA_01069	manual_scaffold_1	1075741	1076628	+	888	53	342
IABCJNHA_01070	manual_scaffold_1	1076647	1076805	-	159	0	0
IABCJNHA_01071	manual_scaffold_1	1076859	1077899	-	1041	7	4
IABCJNHA_01072	manual_scaffold_1	1077943	1079274	-	1332	0	0
IABCJNHA_01073	manual_scaffold_1	1079479	1079727	+	249	8	12
IABCJNHA_01074	manual_scaffold_1	1079821	1080384	+	564	86	58
IABCJNHA_01075	manual_scaffold_1	1080737	1081210	+	474	254	147
IABCJNHA_01076	manual_scaffold_1	1081330	1081767	+	438	292	84
IABCJNHA_01077	manual_scaffold_1	1081761	1081901	-	141	8	3
IABCJNHA_01078	manual_scaffold_1	1082030	1082467	+	438	831	339
IABCJNHA_01079	manual_scaffold_1	1082633	1083037	+	405	0	0
IABCJNHA_01080	manual_scaffold_1	1083246	1083722	+	477	26	8
IABCJNHA_01081	manual_scaffold_1	1083749	1084561	-	813	2	0
IABCJNHA_01082	manual_scaffold_1	1084536	1085318	-	783	2	0
IABCJNHA_01083	manual_scaffold_1	1085331	1086359	-	1029	0	0
IABCJNHA_01084	manual_scaffold_1	1086486	1087259	+	774	13	18
IABCJNHA_01085	manual_scaffold_1	1087311	1087553	+	243	21	8
IABCJNHA_01086	manual_scaffold_1	1087592	1089175	-	1584	10746	1362
IABCJNHA_01087	manual_scaffold_1	1089678	1090880	+	1203	701	360
IABCJNHA_01088	manual_scaffold_1	1091030	1092928	+	1899	1138	836
IABCJNHA_01089	manual_scaffold_1	1093064	1094455	+	1392	534	520
IABCJNHA_01090	manual_scaffold_1	1094700	1095215	-	516	38	26
IABCJNHA_01091	manual_scaffold_1	1095264	1096043	+	780	270	161
IABCJNHA_01092	manual_scaffold_1	1096061	1097167	+	1107	387	209
IABCJNHA_01093	manual_scaffold_1	1097157	1097741	-	585	49	28
IABCJNHA_01094	manual_scaffold_1	1097738	1098706	-	969	82	54
IABCJNHA_01095	manual_scaffold_1	1098868	1099140	+	273	2	8
IABCJNHA_01096	manual_scaffold_1	1099295	1099432	+	138	11	4
IABCJNHA_01097	manual_scaffold_1	1099466	1099858	+	393	17	1
IABCJNHA_01098	manual_scaffold_1	1099851	1100729	+	879	36	16
IABCJNHA_01099	manual_scaffold_1	1100723	1101709	+	987	42	7
IABCJNHA_01100	manual_scaffold_1	1101739	1102716	+	978	81	27
IABCJNHA_01101	manual_scaffold_1	1102731	1103426	+	696	39	20
IABCJNHA_01102	manual_scaffold_1	1103416	1104726	+	1311	312	94
IABCJNHA_01103	manual_scaffold_1	1104814	1105518	+	705	28	3
IABCJNHA_01104	manual_scaffold_1	1105511	1106515	+	1005	32	10
IABCJNHA_01105	manual_scaffold_1	1106617	1107378	+	762	11	6
IABCJNHA_01106	manual_scaffold_1	1107368	1109308	+	1941	18	22
IABCJNHA_01107	manual_scaffold_1	1109345	1110091	-	747	169	56
IABCJNHA_01108	manual_scaffold_1	1110280	1111473	+	1194	9	6
IABCJNHA_01109	manual_scaffold_1	1111710	1112495	-	786	42	30
IABCJNHA_01110	manual_scaffold_1	1112897	1113235	+	339	0	0
IABCJNHA_01111	manual_scaffold_1	1113662	1116076	+	2415	1239	658
IABCJNHA_01112	manual_scaffold_1	1116193	1116504	+	312	206	260
IABCJNHA_01113	manual_scaffold_1	1116526	1117824	-	1299	48	0
IABCJNHA_01114	manual_scaffold_1	1117844	1118674	-	831	10	0
IABCJNHA_01115	manual_scaffold_1	1118671	1119582	-	912	4	4
IABCJNHA_01116	manual_scaffold_1	1119575	1120855	-	1281	39	0
IABCJNHA_01117	manual_scaffold_1	1120889	1121923	-	1035	16	2
IABCJNHA_01118	manual_scaffold_1	1122141	1123040	+	900	10	4
IABCJNHA_01119	manual_scaffold_1	1123292	1124026	+	735	4	4
IABCJNHA_01120	manual_scaffold_1	1124016	1125362	+	1347	12	5
IABCJNHA_01121	manual_scaffold_1	1125352	1126521	+	1170	11	6
IABCJNHA_01122	manual_scaffold_1	1126518	1127213	+	696	4	4
IABCJNHA_01123	manual_scaffold_1	1127216	1128223	+	1008	2	9
IABCJNHA_01124	manual_scaffold_1	1128292	1129479	+	1188	7	4
IABCJNHA_01125	manual_scaffold_1	1129556	1130317	+	762	5	2
IABCJNHA_01126	manual_scaffold_1	1130503	1131384	+	882	12	0
IABCJNHA_01127	manual_scaffold_1	1131409	1132905	+	1497	38	22
IABCJNHA_01128	manual_scaffold_1	1132946	1135252	-	2307	28	6
IABCJNHA_01129	manual_scaffold_1	1135480	1136445	+	966	0	0
IABCJNHA_01130	manual_scaffold_1	1136453	1137574	+	1122	2	0
IABCJNHA_01131	manual_scaffold_1	1137652	1138074	+	423	4	0
IABCJNHA_01132	manual_scaffold_1	1138131	1139372	+	1242	8	10
IABCJNHA_01133	manual_scaffold_1	1139394	1140062	+	669	0	4
IABCJNHA_01134	manual_scaffold_1	1140130	1140312	+	183	0	4
IABCJNHA_01135	manual_scaffold_1	1140349	1141887	-	1539	342	173
IABCJNHA_01136	manual_scaffold_1	1142076	1143293	-	1218	158	60
IABCJNHA_01137	manual_scaffold_1	1143609	1145174	+	1566	256	320
IABCJNHA_01138	manual_scaffold_1	1145243	1145962	+	720	119	554
IABCJNHA_01139	manual_scaffold_1	1146083	1146304	-	222	67	32
IABCJNHA_01140	manual_scaffold_1	1146595	1147305	+	711	217	68
IABCJNHA_01141	manual_scaffold_1	1147302	1148459	+	1158	290	124
IABCJNHA_01142	manual_scaffold_1	1148499	1149797	-	1299	8	10
IABCJNHA_01143	manual_scaffold_1	1149894	1151285	+	1392	328	241
IABCJNHA_01144	manual_scaffold_1	1151319	1152254	-	936	140	66
IABCJNHA_01145	manual_scaffold_1	1152403	1152954	+	552	91	104
IABCJNHA_01146	manual_scaffold_1	1152980	1153894	+	915	336	221
IABCJNHA_01147	manual_scaffold_1	1153943	1154872	+	930	287	192
IABCJNHA_01148	manual_scaffold_1	1154898	1157054	+	2157	257	142
IABCJNHA_01149	manual_scaffold_1	1157234	1158031	+	798	153	100
IABCJNHA_01150	manual_scaffold_1	1158032	1158310	-	279	2	2
IABCJNHA_01151	manual_scaffold_1	1158517	1159158	+	642	164	105
IABCJNHA_01152	manual_scaffold_1	1159229	1160074	+	846	170	68
IABCJNHA_01153	manual_scaffold_1	1160156	1161856	+	1701	539	274
IABCJNHA_01154	manual_scaffold_1	1161909	1162226	-	318	182	148
IABCJNHA_01155	manual_scaffold_1	1162385	1163458	+	1074	126	70
IABCJNHA_01156	manual_scaffold_1	1163513	1163959	-	447	101	63
IABCJNHA_01157	manual_scaffold_1	1164194	1164517	+	324	310	206
IABCJNHA_01158	manual_scaffold_1	1164532	1165341	+	810	1066	629
IABCJNHA_01159	manual_scaffold_1	1165357	1165962	+	606	723	392
IABCJNHA_01160	manual_scaffold_1	1166122	1168980	+	2859	485	683
IABCJNHA_01161	manual_scaffold_1	1169230	1170528	+	1299	792	794
IABCJNHA_01162	manual_scaffold_1	1170690	1171112	+	423	469	996
IABCJNHA_01163	manual_scaffold_1	1171143	1171598	+	456	606	1443
IABCJNHA_01164	manual_scaffold_1	1171622	1171948	+	327	174	430
IABCJNHA_01165	manual_scaffold_1	1172184	1173260	+	1077	619	429
IABCJNHA_01166	manual_scaffold_1	1173536	1174540	+	1005	258	175
IABCJNHA_01167	manual_scaffold_1	1174603	1175421	+	819	82	133
IABCJNHA_01168	manual_scaffold_1	1175411	1176139	+	729	63	114
IABCJNHA_01169	manual_scaffold_1	1176150	1177313	-	1164	323	56
IABCJNHA_01170	manual_scaffold_1	1177310	1177954	-	645	205	35
IABCJNHA_01171	manual_scaffold_1	1177981	1178613	-	633	222	36
IABCJNHA_01172	manual_scaffold_1	1178774	1180492	+	1719	467	101
IABCJNHA_01173	manual_scaffold_1	1180834	1182102	+	1269	816	610
IABCJNHA_01174	manual_scaffold_1	1182232	1182351	+	120	0	5
IABCJNHA_01175	manual_scaffold_1	1182373	1182975	-	603	2130	916
IABCJNHA_01176	manual_scaffold_1	1183270	1185009	+	1740	152	130
IABCJNHA_01177	manual_scaffold_1	1185047	1185538	-	492	144	80
IABCJNHA_01178	manual_scaffold_1	1185665	1186288	+	624	17	18
IABCJNHA_01179	manual_scaffold_1	1186285	1187091	-	807	74	25
IABCJNHA_01180	manual_scaffold_1	1187288	1188976	+	1689	1375	937
IABCJNHA_01181	manual_scaffold_1	1189071	1190408	-	1338	78	46
IABCJNHA_01182	manual_scaffold_1	1190603	1191748	+	1146	104	88
IABCJNHA_01183	manual_scaffold_1	1191752	1192957	+	1206	193	126
IABCJNHA_01184	manual_scaffold_1	1193051	1193260	+	210	37	37
IABCJNHA_01185	manual_scaffold_1	1193439	1195028	+	1590	472	324
IABCJNHA_01186	manual_scaffold_1	1195048	1196637	+	1590	318	192
IABCJNHA_01187	manual_scaffold_1	1196669	1197472	-	804	461	314
IABCJNHA_01188	manual_scaffold_1	1197658	1198665	+	1008	887	638
IABCJNHA_01189	manual_scaffold_1	1198678	1199172	+	495	329	266
IABCJNHA_01190	manual_scaffold_1	1199223	1199927	+	705	2	30
IABCJNHA_01191	manual_scaffold_1	1199941	1200396	+	456	6	14
IABCJNHA_01192	manual_scaffold_1	1200506	1201009	+	504	713	325
IABCJNHA_01193	manual_scaffold_1	1201070	1202059	+	990	297	156
IABCJNHA_01194	manual_scaffold_1	1202407	1203594	+	1188	975	872
IABCJNHA_01195	manual_scaffold_1	1203679	1204191	+	513	33	88
IABCJNHA_01196	manual_scaffold_1	1204361	1205572	+	1212	14	28
IABCJNHA_01197	manual_scaffold_1	1205569	1206954	+	1386	27	18
IABCJNHA_01198	manual_scaffold_1	1207019	1207150	+	132	9	7
IABCJNHA_01199	manual_scaffold_1	1207277	1208044	+	768	182	92
IABCJNHA_01200	manual_scaffold_1	1208107	1208790	+	684	209	108
IABCJNHA_01201	manual_scaffold_1	1208841	1209767	-	927	2	0
IABCJNHA_01202	manual_scaffold_1	1209920	1210456	+	537	0	1
IABCJNHA_01203	manual_scaffold_1	1210470	1211279	+	810	0	2
IABCJNHA_01204	manual_scaffold_1	1211293	1212105	+	813	0	8
IABCJNHA_01205	manual_scaffold_1	1212127	1212846	+	720	0	0
IABCJNHA_01206	manual_scaffold_1	1212876	1213583	+	708	0	0
IABCJNHA_01207	manual_scaffold_1	1213580	1214359	+	780	0	0
IABCJNHA_01208	manual_scaffold_1	1214356	1215360	+	1005	4	0
IABCJNHA_01209	manual_scaffold_1	1215375	1215656	+	282	0	0
IABCJNHA_01210	manual_scaffold_1	1215653	1216981	+	1329	0	2
IABCJNHA_01211	manual_scaffold_1	1217028	1217720	+	693	1	0
IABCJNHA_01212	manual_scaffold_1	1217738	1218988	+	1251	10	2
IABCJNHA_01213	manual_scaffold_1	1219007	1219909	+	903	0	0
IABCJNHA_01214	manual_scaffold_1	1220085	1221404	+	1320	88	48
IABCJNHA_01215	manual_scaffold_1	1221423	1221725	-	303	53	20
IABCJNHA_01216	manual_scaffold_1	1221856	1222797	+	942	400	219
IABCJNHA_01217	manual_scaffold_1	1222815	1223006	-	192	112	50
IABCJNHA_01218	manual_scaffold_1	1223108	1223611	-	504	7	6
IABCJNHA_01219	manual_scaffold_1	1223608	1223949	-	342	2	0
IABCJNHA_01220	manual_scaffold_1	1224089	1227436	+	3348	439	224
IABCJNHA_01221	manual_scaffold_1	1227573	1228517	+	945	258	130
IABCJNHA_01222	manual_scaffold_1	1228562	1228804	+	243	85	52
IABCJNHA_01223	manual_scaffold_1	1229139	1230011	+	873	628	255
IABCJNHA_01224	manual_scaffold_1	1229996	1230973	+	978	845	461
IABCJNHA_01225	manual_scaffold_1	1231157	1232116	+	960	2087	1768
IABCJNHA_01226	manual_scaffold_1	1232159	1233916	+	1758	2634	2276
IABCJNHA_01227	manual_scaffold_1	1234009	1234392	+	384	219	266
IABCJNHA_01228	manual_scaffold_1	1234425	1235540	-	1116	0	0
IABCJNHA_01229	manual_scaffold_1	1235637	1236101	+	465	50	39
IABCJNHA_01230	manual_scaffold_1	1236435	1237553	+	1119	5754	3120
IABCJNHA_01231	manual_scaffold_1	1237717	1238988	+	1272	12089	5567
IABCJNHA_01232	manual_scaffold_1	1239032	1239970	+	939	8870	4852
IABCJNHA_01233	manual_scaffold_1	1240182	1240904	+	723	302	18
IABCJNHA_01234	manual_scaffold_1	1240897	1242636	+	1740	331	29
IABCJNHA_01235	manual_scaffold_1	1242880	1245522	+	2643	392	372
IABCJNHA_01236	manual_scaffold_1	1245539	1246375	+	837	185	194
IABCJNHA_01237	manual_scaffold_1	1246541	1247173	+	633	195	152
IABCJNHA_01238	manual_scaffold_1	1247189	1247782	+	594	196	166
IABCJNHA_01239	manual_scaffold_1	1247824	1248666	-	843	16	6
IABCJNHA_01240	manual_scaffold_1	1248690	1249880	-	1191	7	4
IABCJNHA_01241	manual_scaffold_1	1250064	1250444	+	381	14	5
IABCJNHA_01242	manual_scaffold_1	1250650	1251672	+	1023	7271	1075
IABCJNHA_01243	manual_scaffold_1	1251911	1252291	+	381	3184	548
IABCJNHA_01244	manual_scaffold_1	1252565	1253023	+	459	51	13
IABCJNHA_01245	manual_scaffold_1	1253138	1254556	+	1419	67	71
IABCJNHA_01246	manual_scaffold_1	1254584	1255519	+	936	87	98
IABCJNHA_01247	manual_scaffold_1	1255553	1256194	+	642	33	9
IABCJNHA_01248	manual_scaffold_1	1256273	1257118	+	846	118	66
IABCJNHA_01249	manual_scaffold_1	1257516	1259447	+	1932	893	414
IABCJNHA_01250	manual_scaffold_1	1259488	1260270	-	783	504	276
IABCJNHA_01251	manual_scaffold_1	1260437	1260973	+	537	19	2
IABCJNHA_01252	manual_scaffold_1	1260936	1262222	+	1287	73	28
IABCJNHA_01253	manual_scaffold_1	1262200	1262925	+	726	79	28
IABCJNHA_01254	manual_scaffold_1	1263059	1263499	+	441	17	0
IABCJNHA_01255	manual_scaffold_1	1263521	1264216	+	696	23	2
IABCJNHA_01256	manual_scaffold_1	1264248	1264913	-	666	238	72
IABCJNHA_01257	manual_scaffold_1	1265377	1265880	+	504	3164	1689
IABCJNHA_01258	manual_scaffold_1	1265893	1266093	+	201	2097	1501
IABCJNHA_01259	manual_scaffold_1	1266125	1266484	+	360	1289	896
IABCJNHA_01260	manual_scaffold_1	1266541	1266810	+	270	11	74
IABCJNHA_01261	manual_scaffold_1	1266826	1267218	-	393	273	61
IABCJNHA_01262	manual_scaffold_1	1267402	1268487	+	1086	494	409
IABCJNHA_01263	manual_scaffold_1	1268684	1269655	+	972	0	2
IABCJNHA_01264	manual_scaffold_1	1269833	1271323	+	1491	40	2
IABCJNHA_01265	manual_scaffold_1	1271337	1273019	+	1683	25	4
IABCJNHA_01266	manual_scaffold_1	1273036	1273725	+	690	18	2
IABCJNHA_01267	manual_scaffold_1	1273712	1274521	+	810	8	0
IABCJNHA_01268	manual_scaffold_1	1274518	1275702	+	1185	12	0
IABCJNHA_01269	manual_scaffold_1	1275733	1277034	+	1302	18	0
IABCJNHA_01270	manual_scaffold_1	1277070	1278011	+	942	4	2
IABCJNHA_01271	manual_scaffold_1	1278012	1278857	+	846	6	4
IABCJNHA_01272	manual_scaffold_1	1278876	1280378	+	1503	15	8
IABCJNHA_01273	manual_scaffold_1	1280530	1282326	+	1797	172	45
IABCJNHA_01274	manual_scaffold_1	1282269	1282439	+	171	49	25
IABCJNHA_01275	manual_scaffold_1	1282499	1282741	+	243	45	13
IABCJNHA_01276	manual_scaffold_1	1282780	1284114	-	1335	4017	2457
IABCJNHA_01277	manual_scaffold_1	1284111	1285523	-	1413	5852	3413
IABCJNHA_01278	manual_scaffold_1	1285626	1286732	-	1107	22	13
IABCJNHA_01279	manual_scaffold_1	1286801	1287016	-	216	0	3
IABCJNHA_01280	manual_scaffold_1	1287135	1287881	+	747	82	55
IABCJNHA_01281	manual_scaffold_1	1288236	1289270	+	1035	168	76
IABCJNHA_01282	manual_scaffold_1	1289286	1291700	+	2415	804	348
