,Geneid,Chr,Start,End,Strand,Length,MM227,MM228,MM229,MM230,MM231,MM232,MM233,MM234,MM235,MM236,MM237,MM238,pseudo_ref
925,FGBKPADF_00932,manual_scaffold_1,938355,939011,+,657,425.31,567.16,392.77,309.28,340.01,502.27,527.54,399.03,341.42,463.80,393.14,411.65,419.42
926,FGBKPADF_00933,manual_scaffold_1,939042,939518,-,477,369.70,397.58,364.06,527.25,370.37,344.70,356.09,408.14,316.46,380.71,410.55,632.84,383.33
927,FGBKPADF_00934,manual_scaffold_1,939676,941178,+,1503,7552.96,7472.08,9541.20,10210.59,8374.31,7950.77,8402.30,9789.89,7971.03,7308.05,8540.24,8658.53,8087.42
928,FGBKPADF_00935,manual_scaffold_1,941325,942653,+,1329,213.83,413.00,610.68,829.16,233.00,356.06,579.10,792.59,181.98,403.60,587.53,844.81,430.42
929,FGBKPADF_00936,manual_scaffold_1,942723,943325,-,603,252.99,223.94,165.72,189.99,204.92,274.24,137.88,147.59,197.28,219.61,146.52,190.47,201.00
930,FGBKPADF_00937,manual_scaffold_1,943426,944022,+,597,252.21,338.35,341.88,328.42,273.98,412.88,314.13,289.71,278.61,356.97,374.28,304.13,314.50
931,FGBKPADF_00938,manual_scaffold_1,944224,945105,+,882,892.13,921.74,489.33,248.90,1205.22,838.64,381.27,282.42,999.30,823.31,425.05,281.09,722.92
932,FGBKPADF_00939,manual_scaffold_1,945299,946084,+,786,383.80,326.99,125.27,78.06,475.11,325.76,105.51,52.84,422.75,272.18,78.34,62.98,263.00
933,FGBKPADF_00940,manual_scaffold_1,946110,947306,+,1197,477.00,546.88,177.46,97.20,612.48,478.03,199.03,133.01,559.64,417.17,172.63,87.55,377.08
934,FGBKPADF_00941,manual_scaffold_1,947335,948954,+,1620,940.69,1112.41,425.39,178.20,1305.40,1136.37,411.24,153.05,1070.96,809.74,381.53,156.67,776.33
935,FGBKPADF_00942,manual_scaffold_1,948982,949920,+,939,546.71,745.67,280.55,116.35,819.67,756.06,284.15,151.23,685.26,629.14,233.56,75.26,509.33
936,FGBKPADF_00943,manual_scaffold_1,949940,957076,+,7137,2000.44,3250.42,1774.62,412.37,2881.75,3415.91,1798.44,552.08,2335.19,2938.82,1453.60,499.21,2166.83
937,FGBKPADF_00944,manual_scaffold_1,957092,957301,+,210,27.41,60.85,57.41,22.09,50.09,79.55,50.36,25.51,24.16,73.77,56.58,24.58,47.33
938,FGBKPADF_00945,manual_scaffold_1,957345,958022,-,678,4658.82,4876.45,5149.01,3671.57,4872.49,4490.16,5111.16,3733.39,4758.95,4334.46,4872.88,3105.83,4454.92
939,FGBKPADF_00946,manual_scaffold_1,958134,959270,-,1137,28631.24,27500.40,25498.43,14518.40,29099.10,25534.89,22801.79,14046.21,30175.42,25931.31,23686.94,13463.20,24314.17
940,FGBKPADF_00947,manual_scaffold_1,959372,960601,-,1230,1352.69,1199.23,883.40,997.05,1396.48,1003.79,808.10,845.43,1422.85,1008.15,806.59,930.83,1081.67
941,FGBKPADF_00948,manual_scaffold_1,961161,961454,+,294,5071.60,4691.45,6388.64,4980.85,4909.68,5623.49,6489.96,5232.94,6209.18,4650.73,6404.82,3999.79,5243.92
942,FGBKPADF_00949,manual_scaffold_1,961524,961763,+,240,158.22,61.67,37.84,39.76,125.23,50.00,45.56,47.37,198.09,72.92,40.62,36.86,84.42
943,FGBKPADF_00950,manual_scaffold_1,961778,963133,+,1356,1685.57,322.93,198.34,179.68,1323.62,319.70,183.44,142.12,1852.04,298.46,146.52,164.35,673.42
944,FGBKPADF_00951,manual_scaffold_1,963161,967681,+,4521,5876.79,1665.78,738.56,456.55,4791.28,1328.79,827.28,541.15,6071.48,1355.79,715.19,609.80,2459.58
945,FGBKPADF_00952,manual_scaffold_1,967678,970908,+,3231,7230.26,3194.44,1561.93,997.05,6264.42,3156.82,1442.35,974.80,7146.47,2933.73,1468.10,1033.74,3601.75
946,FGBKPADF_00953,manual_scaffold_1,970931,971395,+,465,1600.98,1115.66,648.52,438.88,1328.93,1062.12,573.10,360.77,1498.54,911.49,590.43,503.81,976.17
947,FGBKPADF_00954,manual_scaffold_1,971458,972189,+,732,2515.04,2187.50,2068.22,2030.93,2401.33,2115.16,1788.85,1873.07,2494.62,1889.97,1800.31,1734.16,2087.00
948,FGBKPADF_00955,manual_scaffold_1,972387,972917,+,531,912.50,942.02,889.92,1643.59,949.45,911.37,704.99,1446.71,1042.78,970.84,877.67,1661.97,1007.25
949,FGBKPADF_00956,manual_scaffold_1,973094,973330,+,237,263.17,276.68,275.33,533.14,243.62,260.61,249.38,466.45,270.56,262.85,258.22,496.13,293.83
950,FGBKPADF_00957,manual_scaffold_1,973371,973760,-,390,49.35,64.10,103.08,122.24,56.92,45.45,92.32,138.48,62.81,56.81,89.94,107.52,72.42
951,FGBKPADF_00958,manual_scaffold_1,973875,974984,+,1110,2011.41,2130.71,1970.35,2167.89,2128.87,1898.49,1962.69,1809.30,1891.50,2086.68,2059.99,2069.02,1974.50
952,FGBKPADF_00959,manual_scaffold_1,975044,975265,+,222,549.06,782.99,780.31,801.18,547.97,684.09,803.30,794.42,514.55,719.02,728.25,812.55,671.42
953,FGBKPADF_00960,manual_scaffold_1,975338,975586,+,249,908.58,1165.97,1436.66,1784.98,782.48,1172.73,1487.91,1867.60,815.70,1197.23,1372.36,1781.78,1190.50
954,FGBKPADF_00961,manual_scaffold_1,975658,976056,+,399,1961.28,2297.85,2832.87,3546.39,1815.42,2243.19,2933.85,3795.34,1996.18,2300.35,2686.69,3494.44,2426.42
955,FGBKPADF_00962,manual_scaffold_1,976153,976704,+,552,3391.51,3287.75,4140.35,4798.23,3966.30,3885.61,4415.76,5785.02,4279.83,3584.92,4436.22,5082.68,3994.67
956,FGBKPADF_00963,manual_scaffold_1,976720,978192,+,1473,12372.36,11429.22,12935.16,15404.99,11567.99,11354.56,14509.79,17114.55,12127.66,10317.24,13360.90,14352.55,12313.58
957,FGBKPADF_00964,manual_scaffold_1,978329,979558,+,1230,4894.58,3583.90,4316.50,3696.61,4836.06,3725.76,4991.26,3828.13,4872.48,3456.89,4550.83,3672.62,4141.17
958,FGBKPADF_00965,manual_scaffold_1,979534,979902,-,369,13.32,17.85,16.96,5.89,6.07,18.18,11.99,16.40,9.66,20.35,2.90,16.90,13.00
959,FGBKPADF_00966,manual_scaffold_1,980363,980503,+,141,57.96,182.56,264.89,204.71,62.99,173.49,281.76,204.07,51.54,172.97,259.67,201.22,156.50
960,FGBKPADF_00967,manual_scaffold_1,980604,981587,+,984,2684.23,1687.69,981.26,1219.44,1998.33,1143.94,1620.99,1382.94,2315.86,1220.98,1334.64,1316.37,1619.50
961,FGBKPADF_00968,manual_scaffold_1,981575,981742,+,168,932.08,557.42,405.81,533.14,730.11,464.39,517.95,430.00,780.27,579.12,507.74,486.92,592.67
962,FGBKPADF_00969,manual_scaffold_1,981757,984066,+,2310,10537.96,8002.73,6391.25,5861.56,9935.48,7024.25,6504.35,4715.47,9489.71,7582.77,6861.78,6133.32,7668.50
963,FGBKPADF_00970,manual_scaffold_1,984147,984791,+,645,3010.85,3807.04,3490.52,5287.18,3075.29,3925.01,3878.63,6031.00,2923.01,4078.40,3741.34,5291.58,3753.58
964,FGBKPADF_00971,manual_scaffold_1,984810,985190,+,381,964.97,1389.10,1213.53,2004.42,971.46,1375.76,1182.17,1947.78,971.11,1358.33,1270.81,1983.00,1280.08
965,FGBKPADF_00972,manual_scaffold_1,985229,985603,-,375,1872.77,1900.27,2119.11,2011.78,1697.78,1960.61,2020.24,2131.80,1699.85,1773.81,1904.76,1777.17,1839.67
966,FGBKPADF_00973,manual_scaffold_1,985587,985871,-,285,1188.99,1192.74,1353.15,1331.37,1159.68,1321.21,1261.30,1290.01,1225.57,1147.21,1235.99,1244.17,1208.17
967,FGBKPADF_00974,manual_scaffold_1,985871,986347,-,477,1699.67,1705.54,1760.27,1802.65,1577.87,1725.00,1840.40,1800.19,1621.75,1695.80,1724.88,1724.95,1670.83
968,FGBKPADF_00975,manual_scaffold_1,986353,987843,-,1491,3845.80,3793.24,3602.74,3899.85,3428.20,3537.88,3988.93,4125.13,3477.82,3544.22,3683.31,3749.42,3604.25
969,FGBKPADF_00976,manual_scaffold_1,987827,988168,-,342,904.66,857.64,768.57,873.34,713.42,693.18,894.42,921.96,778.66,697.82,841.40,890.89,787.58
970,FGBKPADF_00977,manual_scaffold_1,988168,988599,-,432,865.50,853.58,794.66,767.30,768.82,809.09,821.29,808.99,787.52,702.06,696.33,847.88,777.92
971,FGBKPADF_00978,manual_scaffold_1,988592,990997,-,2406,6747.77,5614.00,5744.03,6147.27,6076.95,5398.49,5848.52,5897.99,6486.18,5017.02,5511.19,6199.37,5763.75
972,FGBKPADF_00979,manual_scaffold_1,991228,991443,+,216,20.36,14.60,26.10,36.82,18.97,25.00,23.98,45.55,14.49,11.87,31.92,43.01,22.83
973,FGBKPADF_00980,manual_scaffold_1,991479,992825,-,1347,737.05,698.61,516.73,324.01,435.64,856.82,707.39,512.00,1092.71,392.58,322.05,264.20,600.67
974,FGBKPADF_00981,manual_scaffold_1,992979,993938,-,960,137.85,236.11,182.68,72.16,191.26,258.33,184.64,63.77,157.83,227.24,221.96,87.55,176.00
975,FGBKPADF_00982,manual_scaffold_1,993939,994985,-,1047,267.09,247.47,246.62,79.53,286.89,280.30,190.63,112.97,301.96,250.98,216.15,87.55,227.92
976,FGBKPADF_00983,manual_scaffold_1,994978,996510,-,1533,679.09,490.08,401.90,194.40,732.39,465.91,411.24,196.78,709.41,401.06,358.32,239.62,474.92
977,FGBKPADF_00984,manual_scaffold_1,996586,997638,-,1053,1256.35,420.30,306.64,138.44,1528.54,405.30,287.75,105.68,1372.12,323.05,239.36,96.77,634.25
978,FGBKPADF_00985,manual_scaffold_1,998137,998844,-,708,3014.76,3818.40,3700.61,4081.00,3078.32,3584.10,3141.27,3771.65,2964.07,3528.96,3291.63,3844.65,3354.50
979,FGBKPADF_00986,manual_scaffold_1,998837,1000438,-,1602,2879.26,3455.71,2885.06,3371.13,2750.45,3108.34,2619.72,2829.65,2501.87,3277.98,2839.01,3459.11,2923.50
980,FGBKPADF_00987,manual_scaffold_1,1000616,1001173,+,558,1192.90,1088.88,1132.63,1250.37,1024.59,946.21,983.15,949.29,953.40,1079.38,1076.42,1267.21,1045.50
981,FGBKPADF_00988,manual_scaffold_1,1001376,1001789,-,414,1026.07,858.45,683.75,617.08,1035.21,778.03,570.70,430.00,946.96,827.55,539.66,569.86,775.75
982,FGBKPADF_00989,manual_scaffold_1,1001810,1003684,-,1875,7198.15,5305.67,3925.04,3830.63,6892.83,4341.67,3425.42,3073.80,6485.37,4660.06,3558.55,3772.46,4929.50
983,FGBKPADF_00990,manual_scaffold_1,1003777,1004835,-,1059,213.83,152.54,219.22,360.82,198.85,175.00,225.40,338.90,188.43,137.36,168.28,360.96,207.33
984,FGBKPADF_00991,manual_scaffold_1,1004888,1005091,+,204,10.97,25.15,19.57,32.40,6.83,28.79,26.38,47.37,9.66,22.89,15.96,35.33,20.83
985,FGBKPADF_00992,manual_scaffold_1,1005166,1005783,+,618,215.40,206.90,167.02,207.66,214.78,171.21,244.59,302.46,221.44,219.61,264.03,271.88,214.25
986,FGBKPADF_00993,manual_scaffold_1,1005810,1006196,-,387,1338.59,1185.44,1293.12,1301.91,1335.00,1095.46,1167.79,1280.90,1229.60,1022.57,1066.26,1130.51,1177.58
987,FGBKPADF_00994,manual_scaffold_1,1006242,1007528,-,1287,924.25,538.76,485.41,326.95,982.85,513.64,440.02,244.16,841.47,455.32,427.95,344.07,584.42
988,FGBKPADF_00995,manual_scaffold_1,1007654,1008817,-,1164,3208.23,2892.60,3041.65,1639.17,3275.65,2985.61,2768.39,1492.26,3202.42,2666.64,2647.52,1592.85,2706.17
989,FGBKPADF_00996,manual_scaffold_1,1008904,1009164,+,261,274.92,301.03,283.16,359.35,285.37,305.30,300.94,368.05,273.78,273.87,297.39,279.56,288.75
990,FGBKPADF_00997,manual_scaffold_1,1009193,1010014,-,822,65.01,76.27,97.87,76.58,59.20,70.45,115.10,85.64,63.61,69.53,75.44,75.26,73.33
991,FGBKPADF_00998,manual_scaffold_1,1010162,1010662,+,501,4063.55,3563.62,3549.24,3624.44,3940.50,3485.61,3200.02,3245.08,3720.19,3819.79,3471.51,3316.26,3556.75
992,FGBKPADF_00999,manual_scaffold_1,1010741,1011823,+,1083,10932.73,10592.68,10894.35,9776.13,10890.25,10229.56,9398.63,9582.18,10922.22,10422.38,10385.52,9730.67,10191.67
993,FGBKPADF_01000,manual_scaffold_1,1012025,1012417,+,393,10317.08,13221.58,18610.03,22293.06,9751.06,12962.90,17274.59,20813.32,9402.74,13657.12,18927.21,20951.29,14093.92
994,FGBKPADF_01001,manual_scaffold_1,1012495,1012731,-,237,36.81,73.84,127.88,85.42,37.95,109.85,125.89,138.48,84.55,90.73,104.45,93.70,84.58
995,FGBKPADF_01002,manual_scaffold_1,1012961,1014124,+,1164,7283.52,8357.31,14410.97,16936.66,7854.43,8924.26,14698.03,19700.04,7475.01,8977.56,14298.04,16056.00,10626.92
996,FGBKPADF_01003,manual_scaffold_1,1014228,1015400,+,1173,1483.49,2410.64,4638.81,5681.88,1501.21,2590.16,5849.72,7880.38,1407.55,2682.75,5132.56,5382.21,3236.08
997,FGBKPADF_01004,manual_scaffold_1,1015512,1016864,+,1353,17833.24,16111.75,19156.77,16219.42,17288.24,15556.09,18919.56,16846.71,17496.17,15663.25,18960.58,14529.20,16615.67
998,FGBKPADF_01005,manual_scaffold_1,1016866,1017294,+,429,976.72,950.95,1126.10,938.14,856.10,940.15,1182.17,1042.21,876.90,802.96,1019.84,830.99,927.17
999,FGBKPADF_01006,manual_scaffold_1,1017354,1017758,+,405,1477.23,1350.15,1783.76,1064.80,1333.48,1288.64,1710.91,1437.60,1353.60,1160.77,1486.96,1245.71,1350.00
1000,FGBKPADF_01007,manual_scaffold_1,1017755,1018741,-,987,51.70,86.01,50.89,58.91,75.14,75.00,56.35,56.48,53.15,49.18,58.03,49.15,60.25
1001,FGBKPADF_01008,manual_scaffold_1,1018738,1019070,-,333,34.46,28.40,35.23,41.24,25.80,36.36,19.18,32.80,29.79,38.16,29.01,39.94,31.50
1002,FGBKPADF_01009,manual_scaffold_1,1019117,1019380,+,264,3.92,14.60,22.18,17.67,6.07,20.45,21.58,43.73,4.03,14.41,14.51,23.04,14.67
1003,FGBKPADF_01010,manual_scaffold_1,1019422,1020099,+,678,818.51,741.61,775.09,1248.89,777.17,687.12,850.06,1415.74,789.13,596.92,676.02,1245.71,814.92
1004,FGBKPADF_01011,manual_scaffold_1,1020143,1021432,+,1290,104.96,185.81,229.66,245.95,120.67,171.21,225.40,326.15,101.46,160.25,204.55,301.06,175.83
1005,FGBKPADF_01012,manual_scaffold_1,1021559,1023223,+,1665,359.52,546.06,554.57,592.05,358.99,575.00,587.49,455.51,325.32,537.57,555.62,606.73,478.92
1006,FGBKPADF_01013,manual_scaffold_1,1023343,1023741,+,399,979.07,1161.10,1351.84,892.49,1147.54,1234.09,1104.24,785.31,1124.11,1305.77,1289.67,892.43,1101.83
1007,FGBKPADF_01014,manual_scaffold_1,1023999,1024253,+,255,271.79,310.76,357.53,291.61,269.43,290.91,377.67,267.84,235.93,295.92,398.94,199.68,287.50
1008,FGBKPADF_01015,manual_scaffold_1,1024267,1025004,-,738,110.44,150.11,134.40,82.47,107.77,163.64,130.69,103.86,130.45,149.23,103.00,96.77,123.42
1009,FGBKPADF_01016,manual_scaffold_1,1025162,1027150,+,1989,12723.26,9629.56,6217.70,8038.28,12748.17,9971.23,5531.99,8736.75,12634.16,9553.28,5643.20,8359.01,9499.33
1010,FGBKPADF_01017,manual_scaffold_1,1027327,1029315,+,1989,571.00,1369.62,853.38,1106.04,474.35,1244.70,713.38,1187.98,359.94,1413.45,752.91,1244.17,898.33
1011,FGBKPADF_01018,manual_scaffold_1,1029434,1031425,+,1992,15544.55,13368.44,6533.48,6493.37,15119.90,12311.38,5930.05,5894.34,13941.86,12906.73,6055.20,6859.86,10939.00
1012,FGBKPADF_01019,manual_scaffold_1,1031539,1033527,+,1989,7722.93,6213.62,3486.61,4410.89,8209.62,6397.74,3113.69,4895.86,7887.29,6412.66,3526.64,4712.50,5882.33
1013,FGBKPADF_01020,manual_scaffold_1,1033665,1035734,+,2070,2446.90,2502.32,1620.65,1484.53,2460.53,3338.64,1481.91,1423.02,2983.40,2745.50,1537.74,1532.95,2260.42
1014,FGBKPADF_01021,manual_scaffold_1,1035791,1036567,+,777,957.14,993.14,743.78,759.94,811.32,1150.00,719.38,716.07,1016.21,1065.81,687.63,749.58,882.75
1015,FGBKPADF_01022,manual_scaffold_1,1036572,1038029,+,1458,1661.29,1419.93,1051.72,963.18,1407.86,1509.85,1145.01,1029.46,1592.76,1322.72,1035.80,1090.57,1305.08
1016,FGBKPADF_01023,manual_scaffold_1,1038047,1038361,+,315,458.99,296.97,232.27,153.17,480.42,327.27,278.16,165.81,553.20,224.69,246.62,161.28,320.75
1017,FGBKPADF_01024,manual_scaffold_1,1038387,1039661,+,1275,980.64,544.44,452.79,291.61,903.92,596.97,419.64,368.05,1112.84,503.65,448.26,250.37,620.58
1018,FGBKPADF_01025,manual_scaffold_1,1039702,1040688,-,987,3563.83,3319.39,3514.01,3263.62,3329.54,3036.37,3414.63,3225.03,3354.61,3121.12,3519.38,3015.20,3233.25
1019,FGBKPADF_01026,manual_scaffold_1,1040870,1042036,+,1167,2344.29,1808.59,2243.07,2749.63,2388.43,1690.15,2188.10,2246.59,2240.97,1700.89,2065.79,2537.50,2092.42
1020,FGBKPADF_01027,manual_scaffold_1,1042129,1042959,+,831,1228.15,1344.47,1641.52,1910.16,1246.20,1159.85,1457.93,1382.94,1132.97,1201.47,1424.58,1598.99,1314.58
1021,FGBKPADF_01029,manual_scaffold_1,1043246,1043731,-,486,20.36,12.17,30.01,22.09,16.70,33.33,40.76,23.69,31.40,17.81,15.96,18.43,22.92
1022,FGBKPADF_01030,manual_scaffold_1,1044216,1045751,+,1536,1788.96,1307.15,1959.91,1656.85,1911.05,1295.46,1830.81,1599.76,1724.82,1152.30,1919.27,1941.53,1603.58
1023,FGBKPADF_01031,manual_scaffold_1,1045726,1046760,+,1035,1280.63,1187.87,994.31,914.58,1277.32,990.91,836.87,747.04,1269.05,1078.53,976.32,1035.28,1064.67
1024,FGBKPADF_01032,manual_scaffold_1,1046869,1047132,+,264,2490.76,2376.56,2472.73,2219.44,2464.33,2178.03,2182.10,2201.04,2234.53,2246.93,2442.97,2024.47,2257.33
1025,FGBKPADF_01033,manual_scaffold_1,1047168,1048505,-,1338,432.36,834.92,699.41,502.21,469.79,734.09,599.48,446.40,488.78,784.31,667.32,563.72,595.83
1026,FGBKPADF_01034,manual_scaffold_1,1048512,1049180,-,669,224.80,414.62,354.92,285.71,274.74,384.85,291.35,251.44,339.81,431.58,375.73,281.09,324.00
1027,FGBKPADF_01035,manual_scaffold_1,1049546,1050091,-,546,956.36,1303.09,2002.97,2094.25,942.62,1184.85,1456.73,1415.74,817.31,1124.31,1817.72,1626.64,1269.58
1028,FGBKPADF_01036,manual_scaffold_1,1050289,1050831,-,543,800.49,791.92,788.14,904.27,937.31,824.24,672.62,843.61,876.90,884.36,822.54,938.51,822.75
1029,FGBKPADF_01037,manual_scaffold_1,1051030,1052502,+,1473,640.71,537.95,441.05,537.55,658.77,594.70,786.52,1036.75,683.65,557.92,523.70,697.35,615.33
1030,FGBKPADF_01038,manual_scaffold_1,1052519,1053727,+,1209,851.40,831.67,621.12,718.70,727.84,763.64,918.40,1186.16,775.44,658.82,657.16,721.93,760.25
1031,FGBKPADF_01039,manual_scaffold_1,1053815,1054393,+,579,1037.03,1088.88,1123.49,1058.91,1154.37,1069.70,896.82,983.91,1001.71,1089.55,970.51,967.69,1024.58
1032,FGBKPADF_01040,manual_scaffold_1,1054399,1054887,-,489,4611.04,2965.63,2718.04,2497.79,4368.55,2915.16,2539.39,2700.28,4258.09,2629.34,2392.20,1944.60,3152.42
1033,FGBKPADF_01041,manual_scaffold_1,1055004,1055579,+,576,3079.77,1720.96,690.28,347.57,3104.13,1421.97,544.33,306.11,2195.07,1187.91,741.30,187.39,1513.92
1034,FGBKPADF_01042,manual_scaffold_1,1055600,1057129,+,1530,7887.42,4694.70,1411.87,524.30,7744.38,4425.01,1312.86,668.69,6706.01,3574.74,1327.39,374.79,4042.00
1035,FGBKPADF_01043,manual_scaffold_1,1057147,1057668,+,522,2248.74,1978.98,510.20,138.44,2439.28,1796.22,443.61,260.55,2294.92,1463.47,371.38,170.50,1403.00
1036,FGBKPADF_01044,manual_scaffold_1,1057710,1058288,-,579,172.32,206.09,150.06,126.66,173.04,218.18,188.24,94.75,212.58,210.28,178.44,135.17,176.92
1037,FGBKPADF_01045,manual_scaffold_1,1059059,1060942,+,1884,126.10,213.40,371.89,232.69,138.13,359.85,499.97,280.60,215.00,300.16,364.12,265.73,261.67
1038,FGBKPADF_01046,manual_scaffold_1,1060939,1062081,+,1143,143.34,202.04,397.98,213.55,113.84,314.39,598.28,368.05,140.92,319.66,490.33,336.39,271.42
1039,FGBKPADF_01047,manual_scaffold_1,1062105,1063136,+,1032,200.51,299.40,554.57,450.66,160.14,354.55,818.89,563.01,198.09,314.57,506.29,411.65,355.08
1040,FGBKPADF_01048,manual_scaffold_1,1063133,1064587,+,1455,260.04,390.28,698.10,513.99,258.80,521.97,963.96,721.53,239.96,466.34,777.57,543.75,472.08
1041,FGBKPADF_01049,manual_scaffold_1,1064574,1066970,+,2397,471.52,586.63,1131.32,708.39,533.55,666.67,1531.07,960.22,518.57,656.27,1302.72,757.26,739.08
1042,FGBKPADF_01050,manual_scaffold_1,1067001,1067468,-,468,3.92,3.25,5.22,11.78,4.55,7.58,2.40,3.64,8.05,5.94,5.80,10.75,5.75
1043,FGBKPADF_01051,manual_scaffold_1,1067548,1068609,-,1062,30.55,32.46,49.59,14.73,3.79,117.42,163.06,105.68,129.64,24.59,17.41,9.22,57.42
1044,FGBKPADF_01052,manual_scaffold_1,1068811,1069944,+,1134,25.06,57.61,56.11,44.18,48.57,105.30,99.51,69.24,102.27,33.92,68.18,19.97,60.58
1045,FGBKPADF_01053,manual_scaffold_1,1069959,1071014,+,1056,104.96,148.48,190.51,76.58,120.67,305.30,279.36,207.71,203.72,144.14,153.77,50.69,165.50
1046,FGBKPADF_01054,manual_scaffold_1,1071016,1071447,+,432,76.76,103.86,84.82,54.49,72.10,171.97,187.04,165.81,138.50,93.27,68.18,46.08,104.67
1047,FGBKPADF_01055,manual_scaffold_1,1071521,1072744,-,1224,9.40,10.55,7.83,5.89,7.59,65.15,56.35,32.80,44.29,12.72,7.25,6.14,22.92
1048,FGBKPADF_01056,manual_scaffold_1,1072747,1073697,-,951,6.27,12.98,6.52,8.84,9.11,35.61,51.56,16.40,41.07,11.87,4.35,12.29,18.50
1049,FGBKPADF_01057,manual_scaffold_1,1073694,1074980,-,1287,8.62,17.85,18.27,14.73,21.25,100.00,131.89,65.59,93.41,20.35,13.06,26.11,44.08
1050,FGBKPADF_01058,manual_scaffold_1,1075152,1075970,+,819,63.44,55.99,78.29,61.86,63.75,96.21,77.93,69.24,71.67,51.72,72.53,73.73,67.83
1051,FGBKPADF_01059,manual_scaffold_1,1075979,1076698,-,720,6.27,14.60,7.83,5.89,9.11,34.85,81.53,40.09,56.37,11.87,2.90,0.00,22.50
1052,FGBKPADF_01060,manual_scaffold_1,1076988,1078403,+,1416,6512.80,4852.92,4219.94,4702.50,6350.94,4481.83,3891.82,4757.38,6875.91,4388.73,4205.56,4535.86,5035.92
1053,FGBKPADF_01061,manual_scaffold_1,1078400,1080142,+,1743,6380.43,4086.97,3528.36,3101.62,6079.99,4028.79,3654.43,3656.86,6697.96,3552.70,3416.39,3406.89,4454.83
1054,FGBKPADF_01062,manual_scaffold_1,1080130,1080954,+,825,3044.53,2325.44,2340.93,1952.87,3022.92,2300.76,2116.16,2111.76,3038.16,2185.04,2241.32,2101.27,2423.33
1055,FGBKPADF_01063,manual_scaffold_1,1080989,1081804,+,816,8152.94,8852.25,11013.09,10615.60,7803.58,8354.56,10682.72,10474.99,7616.73,8921.60,11154.39,9841.27,8917.75
1056,FGBKPADF_01064,manual_scaffold_1,1081895,1083355,+,1461,2643.50,3917.39,6704.41,6739.32,2610.81,3921.22,6468.38,7151.56,2516.36,3870.66,6441.08,6389.84,4345.25
1057,FGBKPADF_01065,manual_scaffold_1,1083352,1084467,+,1116,1286.89,1741.24,3387.44,3237.11,1190.04,1862.88,3281.55,3387.20,1087.87,1979.85,3412.03,3217.96,2111.58
1058,FGBKPADF_01066,manual_scaffold_1,1084747,1085667,+,921,2966.20,11157.41,16052.49,18231.20,3924.56,13192.45,16700.29,20425.22,3817.63,14990.86,19875.96,20779.25,11632.75
1059,FGBKPADF_01067,manual_scaffold_1,1085686,1086438,+,753,1623.70,6893.56,10652.95,11830.62,2352.00,8197.74,10414.15,12100.26,2178.97,9276.87,12583.32,12870.30,7226.08
1060,FGBKPADF_01068,manual_scaffold_1,1086444,1087751,+,1308,2481.36,10969.17,14962.93,16973.47,2959.93,11728.05,17410.07,19435.85,2728.14,13819.07,19273.93,19873.00,10846.50
1061,FGBKPADF_01069,manual_scaffold_1,1087741,1088628,+,888,1049.57,5018.44,7459.93,7898.37,1227.23,5312.13,8068.99,8308.56,1046.00,6718.76,9639.86,9756.79,5062.00
1062,FGBKPADF_01070,manual_scaffold_1,1088647,1088805,-,159,20.36,55.99,35.23,22.09,31.88,86.36,55.15,74.70,56.37,31.37,20.31,9.22,42.25
1063,FGBKPADF_01071,manual_scaffold_1,1088859,1089899,-,1041,207.56,469.79,211.39,100.15,229.20,393.18,176.25,102.04,206.95,343.40,156.68,96.77,244.25
1064,FGBKPADF_01072,manual_scaffold_1,1089943,1091274,-,1332,21.15,39.76,54.80,55.96,26.56,38.64,21.58,34.62,35.43,30.52,36.27,33.79,33.83
1065,FGBKPADF_01073,manual_scaffold_1,1091479,1091727,+,249,122.19,528.21,411.03,301.91,115.36,555.30,420.83,313.39,100.65,383.25,443.91,291.84,317.33
1066,FGBKPADF_01074,manual_scaffold_1,1091821,1092384,+,564,1655.81,1651.18,1607.60,1571.43,1627.20,1537.12,1528.67,1408.45,1670.87,1624.58,1517.43,1493.01,1556.50
1067,FGBKPADF_01075,manual_scaffold_1,1092737,1093210,+,474,2934.09,3044.33,3251.73,2637.70,3063.14,3039.40,2853.52,2412.40,3139.62,2990.54,2917.35,2451.48,2880.50
1068,FGBKPADF_01076,manual_scaffold_1,1093330,1093767,+,438,4363.53,2787.12,2911.16,1178.20,5564.66,3290.91,1763.67,867.30,5064.94,3073.64,2192.00,946.19,3141.83
1069,FGBKPADF_01077,manual_scaffold_1,1093761,1093901,-,141,111.22,108.73,69.16,79.53,88.04,71.97,53.95,38.26,92.60,101.75,59.48,84.48,82.58
1070,FGBKPADF_01078,manual_scaffold_1,1094030,1094467,+,438,7457.41,6243.64,6309.04,4296.02,7603.21,5922.74,5725.03,3870.04,7189.15,5888.66,5653.36,4056.62,6009.50
1071,FGBKPADF_01079,manual_scaffold_1,1094633,1095037,+,405,27.41,31.64,36.54,48.60,27.32,51.52,41.96,71.06,24.96,32.22,21.76,41.47,35.33
1072,FGBKPADF_01080,manual_scaffold_1,1095246,1095722,+,477,754.28,488.46,365.36,555.23,622.34,381.82,352.49,362.59,716.66,506.20,353.97,549.89,510.67
1073,FGBKPADF_01081,manual_scaffold_1,1095749,1096561,-,813,21.15,17.85,19.57,10.31,25.80,29.55,37.17,10.93,18.52,18.65,23.21,12.29,20.83
